,Brands,Models,Transmission,Colour,Mileage,Year,Prices
2132,Hyundai,i30,0,Silver,84070,2,15500
2133,Ford,Mondeo,0,Grey,115015,3,16950
2134,Ford,Mondeo,0,Grey,135149,3,15950
2135,Ford,Mondeo,0,Grey,98167,4,16495
2136,Ford,Mondeo,0,Grey,84749,4,15995
2137,Ford,Mondeo,0,Black,197944,4,13950
2138,Ford,Mondeo,0,Silver,143000,5,12750
2139,Ford,Mondeo,0,Grey,138103,6,10450
2140,Ford,Mondeo,0,Brown,312204,9,4950
2141,Ford,Mondeo,0,Silver,339562,12,2450
2142,Ford,Ranger,0,Silver,56326,2,25750
2143,Ford,Ranger,0,Black,107590,6,19995
2144,Ford,S-Max,0,Black,52785,1,31750
2145,Ford,S-Max,0,Silver,52302,1,31750
2146,Ford,S-Max,0,Grey,46670,1,31750
2147,Ford,S-Max,0,Grey,35405,3,24450
2148,Ford,S-Max,0,Black,85293,3,21900
2149,Ford,S-Max,0,Deep Impact Blue,85937,4,21950
2150,Ford,S-Max,0,White,186679,8,9900
2151,Ford,S-Max,0,Black,262316,9,7450
2152,Ford,Transit Tourneo,0,White,140344,3,13950
2153,Ford,Transit Tourneo,0,White,90121,15,6450
2154,Honda,Civic,0,Blue,84327,2,17950
2155,Honda,Civic,0,Blue,68120,2,17950
2156,Honda,Civic,0,Red,193222,4,99999
2157,Honda,Civic,0,Blue,119088,4,14450
2158,Honda,Civic,0,Blue,147190,4,12950
2159,Honda,Civic,0,Black,122500,5,13750
2160,Ford,Focus,0,Deep Impact Blue,102200,5,11950
2161,Ford,Focus,0,Chill,94200,5,11950
2162,Ford,Focus,0,Black,190791,5,10450
2163,Ford,Focus,0,Silver,130000,6,10500
2164,Ford,Focus,0,Silver,165200,7,8500
2165,Ford,Focus,0,Silver,148800,7,9950
2166,Ford,Focus,0,Silver,2,10,4750
2167,Ford,Focus,0,Blue,202772,11,3850
2168,Ford,Focus,0,Silver,201163,12,2500
2169,Ford,Focus,0,Grey,307376,12,2450
2170,Ford,Fusion,0,Black,233000,12,2500
2171,Ford,Galaxy,0,Silver/black Leather,51015,1,35950
2172,Ford,Galaxy,1,Black,111100,3,22950
2173,Ford,Galaxy,0,Blue,83684,3,24950
2174,Ford,Galaxy,0,Silver,227457,7,13500
2175,Ford,Ka,0,Black,88157,4,8225
2176,Ford,Kuga,0,Silver,35700,1,25950
2177,Ford,Kuga,0,Blue,48279,3,20450
2178,Ford,Kuga,0,Black,69200,4,17450
2179,Ford,Mondeo,0,Black,153849,3,14950
2180,Ford,Mondeo,0,Blue,83684,3,18995
2181,Ford,Mondeo,0,Grey,80465,3,18995
2182,Ford,Mondeo,0,Grey,96503,3,17950
2183,Ford,Focus,0,Grey,21082,3,16950
2184,Ford,Focus,0,Yellow,142837,3,20950
2185,Ford,Focus,0,Grey,70624,3,16995
2186,Ford,Focus,0,White,94949,3,16495
2187,Ford,Focus,0,Blue,91730,3,16495
2188,Ford,Focus,0,Red,75637,3,16495
2189,Ford,Focus,1,Deep Impact Blue,20921,3,15950
2190,Ford,Focus,0,Deep Impact Blue,11426,3,15950
2191,Ford,Focus,0,Black,111042,3,14995
2192,Ford,Focus,0,Grey,74028,3,14995
2193,Ford,Focus,0,Blue,100237,3,14950
2194,Ford,Focus,0,Blue,67666,3,14950
2195,Ford,Focus,0,Grey,64023,3,14950
2196,Ford,Focus,0,Blue,91730,3,14750
2197,Ford,Focus,0,White,128775,3,14500
2198,Ford,Focus,0,Black,116003,3,13950
2199,Ford,Focus,0,Silver,58500,3,13950
2200,Ford,Focus,0,Grey,104605,3,13900
2201,Ford,Focus,0,Grey,104605,3,13900
2202,Ford,Focus,0,Grey,202772,3,12950
2203,Ford,Focus,0,Black,166400,3,12950
2204,Ford,Focus,0,Silver,131963,3,12750
2205,Ford,Focus,0,Silver,56000,4,14500
2206,Ford,Focus,0,Blue,54716,4,14450
2207,Ford,Focus,0,Blue,96558,4,13750
2208,Ford,Focus,0,Grey,107823,4,12995
2209,Ford,Focus,0,Black,131963,4,11995
2210,Ford,Focus,0,Blue,129000,4,11995
2211,Ford,Focus,0,Blue,104605,5,11250
2212,Ford,Focus,0,Silver,33500,5,13500
2213,Dacia,Sandero,0,White,25,0,12100
2214,Dacia,Sandero,0,Black,13100,1,13950
2215,Dacia,Sandero,0,Blue,24953,1,12950
2216,Dacia,Sandero,0,Brown,12551,1,12950
2217,Dacia,Sandero,0,Blue,52806,2,11950
2218,Dacia,Sandero,0,Grey,77207,3,9995
2219,Daihatsu,Terios,0,Silver,195992,15,2500
2220,Fiat,500,0,Green,48279,3,11950
