#Brands,Models,Transmission,Colour,Mileage,Year,Prices
6,32,0,51,35266,3,15950
14,97,0,101,23999,1,37500
9,61,0,42,100000,2,16500
6,48,0,24,90000,4,17950
13,82,0,84,11,-1,33100
#6,63,0,47,$,0,57950
10,60,0,12,5000,0,29950
#4,30,0,85,$,0,16900
6,32,0,24,56168,3,16950
6,44,1,24,2900,0,39950
7,53,0,42,53107,2,17950
13,81,0,88,13,-1,26800
2,68,0,6,69200,3,23950
7,38,1,30,1,-1,34440
6,32,0,45,40500,1,20950
#6,63,0,4,$,0,57950
1,31,1,48,39500,2,35950
9,33,0,42,22000,2,13500
13,38,0,91,119101,3,15950
7,58,0,85,130353,6,5950
13,65,0,91,8805,1,15950
6,31,0,45,69622,2,12950
7,19,1,15,1000,0,45950
10,60,0,51,93961,3,20500
6,65,0,6,10,0,34950
6,48,1,4,1699,0,35950
6,56,0,95,80040,5,10900
1,16,1,14,71160,2,31950
13,82,0,101,44256,2,22450
14,89,0,13,124000,7,9750
6,32,1,45,31106,3,16950
6,46,0,27,81233,3,18900
6,54,1,0,499,0,46500
13,82,0,3,9,0,31100
6,32,0,6,70774,3,16950
10,22,0,21,131641,6,9950
13,46,0,11,140143,4,11950
9,61,0,91,110578,5,11500
8,66,0,51,62317,2,22950
1,31,1,68,30700,1,47950
13,83,1,80,12,-1,52500
6,44,0,24,81295,3,21500
6,30,0,24,29296,3,17950
13,38,0,101,86500,3,16950
1,16,1,16,24500,1,36950
10,60,0,2,56000,3,21950
11,14,0,91,101296,7,11950
14,89,0,42,75000,3,17950
9,49,1,42,50000,2,33950
8,66,0,6,34922,3,18950
6,46,0,73,65422,2,23490
1,31,1,68,11200,1,40950
3,69,0,42,70809,6,14950
3,7,0,13,225302,15,999
7,43,0,10,86902,3,12495
9,61,0,42,152000,7,9500
6,32,0,24,16,0,26950
1,16,1,68,16500,2,38950
6,44,1,51,32139,3,26500
8,43,1,45,39127,2,23500
13,82,0,43,8,-1,33100
13,8,1,42,15000,0,56980
1,72,1,91,199873,10,10950
11,15,0,29,20303,3,16900
13,65,0,87,13,-1,18400
14,5,1,45,64372,6,35000
3,17,0,47,120998,7,7750
4,28,0,47,102221,4,9900
6,31,0,4,56223,2,13950
6,31,0,4,114260,7,8950
8,41,0,51,50,0,29950
10,61,0,4,24999,1,18950
14,91,0,15,104605,3,19950
6,56,1,71,89438,3,15900
13,63,0,80,4001,0,38000
10,60,0,47,142000,6,13950
13,20,1,24,20876,1,33950
0,40,0,10,51585,4,15950
3,69,0,42,67142,3,20950
1,10,1,45,35003,2,34950
13,38,0,10,245201,13,2950
13,65,0,54,13,-1,18400
13,63,0,91,193116,6,8500
6,44,0,22,16040,1,28950
3,96,1,101,69844,3,22950
11,14,1,42,67945,5,15600
6,14,0,47,69200,3,17950
9,61,0,101,73000,3,13950
4,30,0,13,96249,5,9950
6,31,0,45,14,0,22446
3,69,0,101,38219,3,20950
10,55,0,24,139834,8,6900
3,16,0,24,20000,1,15950
11,17,0,73,10192,1,24400
0,40,0,101,49888,4,13950
14,74,1,101,67999,4,17500
#9,61,0,42,$,0,27000
13,38,0,91,259097,9,4750
2,0,0,24,38514,3,20500
10,67,0,27,26700,2,13950
1,8,0,16,75476,3,22950
3,69,0,85,297722,10,3950
1,9,1,6,144837,8,13500
#6,56,0,47,$,14,1995
10,60,0,38,5000,0,29950
13,82,1,47,8,-1,36300
6,50,1,65,16256,0,40950
6,56,1,57,50570,2,18490
13,19,0,10,239786,7,11950
1,16,1,91,34307,2,27950
10,60,0,37,73500,4,19950
9,80,0,91,255993,6,8750
6,32,0,4,257488,14,1999
13,63,0,51,12,-1,43400
1,35,1,44,62763,3,26950
5,0,0,41,54999,3,13500
7,85,0,13,84947,5,11490
6,54,1,47,19,0,48950
7,19,0,4,26875,3,24450
8,66,0,24,106899,4,19950
4,57,0,51,153380,5,6900
9,33,0,10,94788,7,7950
10,60,0,4,110881,8,12950
7,28,0,91,220474,16,999
6,44,0,47,50979,3,24950
13,38,0,44,37014,3,11950
1,8,1,47,77818,3,22950
9,33,0,42,41000,2,12500
1,16,1,91,22601,1,34950
13,47,0,31,154493,5,11950
13,83,0,91,5001,0,37500
1,31,1,48,13300,1,43950
11,17,1,80,65334,3,21400
6,39,0,10,74068,3,18900
1,72,1,23,6600,1,79900
13,21,0,101,5001,0,14300
13,38,0,42,53998,1,21950
6,32,0,6,12680,1,23500
2,2,1,41,19151,0,46900
6,48,0,4,79968,3,20500
13,64,0,50,86902,5,13950
7,6,0,85,57935,3,25950
9,61,0,9,249733,8,5950
#3,37,0,6,$,0,27950
8,73,0,51,7599,1,14950
6,32,0,51,58,0,25950
3,69,0,91,211404,8,6950
6,32,0,24,60758,3,15950
1,31,1,68,82000,4,25950
13,63,0,81,14,-1,45600
10,60,0,47,89305,3,20500
6,30,0,51,49888,3,14950
7,42,0,24,104143,8,5950
13,83,0,89,9001,0,34950
11,70,1,73,31904,2,30100
6,44,0,24,60692,3,26500
8,66,0,51,45500,0,30950
#6,33,0,24,$,14,1699
9,61,1,42,91016,5,13200
6,56,0,37,30662,1,20900
13,11,1,42,35005,2,32950
9,26,0,85,57935,2,10950
6,54,1,47,16,0,46500
7,23,1,29,9,-1,31895
13,82,1,4,8,0,40700
13,63,0,66,119088,5,13950
11,14,0,33,50009,3,15600
8,4,1,91,222140,10,6500
10,70,0,29,19,0,25650
13,38,1,3,2,-1,52000
4,45,0,50,96879,3,10900
13,84,1,31,10,-1,60600
6,44,0,47,32991,3,20950
11,70,0,8,102038,5,17995
10,22,0,51,191888,6,8900
10,55,0,4,11,-1,18950
9,61,0,10,86000,3,14500
6,31,0,4,19,0,21500
6,32,0,51,40413,2,21500
3,69,0,79,83523,3,18895
6,30,0,51,19,0,24950
4,57,0,20,33792,3,11900
3,69,0,91,270362,9,6950
13,38,0,42,47793,3,17950
6,62,1,24,50899,2,42500
10,60,0,27,5000,0,31950
13,79,0,13,23003,1,39950
11,101,1,2,1500,0,23500
10,60,0,45,27004,2,25500
9,61,0,42,11000,0,25950
13,23,0,62,5,0,67700
10,61,0,46,34680,1,18950
6,56,0,73,92997,3,17900
6,33,1,4,109579,5,18500
13,38,0,26,53912,3,17500
6,46,0,27,46711,1,25490
13,63,0,80,11,0,35900
6,44,1,24,104497,4,22500
4,103,0,100,122307,6,9500
11,29,0,42,32905,2,18000
14,13,1,9,10300,1,42950
8,43,0,45,32579,1,23950
3,69,0,22,164149,8,10950
2,0,0,18,111846,3,15950
9,61,0,42,12000,0,25950
3,69,0,10,76591,3,20500
2,3,1,24,129359,5,22900
13,21,0,21,9,-1,15800
13,38,0,10,108282,3,17950
2,0,0,51,66817,3,18950
6,48,0,24,86088,3,17950
9,80,1,42,93000,3,21950
9,61,1,42,25000,3,15500
#6,64,0,6,$,-1,30500
6,32,0,51,83336,2,18950
0,40,0,10,66852,4,15950
6,32,0,4,44747,2,17950
10,60,0,24,40999,1,27500
14,18,0,11,166563,9,4350
6,51,0,24,1500,0,26500
3,17,0,42,64400,3,13900
1,10,1,47,183460,4,19950
13,83,0,88,14001,0,34950
13,63,0,42,386232,13,1250
6,56,0,10,30614,1,16900
13,83,0,101,10,-1,40700
5,26,0,51,10,0,12950
2,4,1,4,69182,3,29500
6,65,0,24,10,0,46950
13,38,1,30,4500,0,43950
14,100,1,13,13999,1,63950
13,63,0,63,104605,4,16950
9,102,0,9,184000,7,8250
13,63,0,40,152884,4,13950
13,84,0,31,5,-1,44300
13,84,1,81,10,0,49300
6,48,0,24,114151,3,18500
7,13,0,101,8900,3,22950
1,16,1,23,55200,2,31950
2,4,1,4,59747,4,25500
4,59,0,13,100583,5,13950
7,58,1,10,71292,2,11950
14,100,1,9,127999,4,37950
9,61,0,10,11000,0,25950
1,8,0,51,95687,4,20500
11,29,0,7,92342,4,13500
6,48,0,6,84767,4,18950
6,48,1,24,23465,1,29950
6,32,0,6,75539,3,15950
14,98,1,42,48084,1,43999
11,5,0,86,4200,0,14299
13,21,0,94,76001,1,16500
13,83,0,31,10,-1,35300
#10,60,0,27,$,-1,31630
10,60,0,12,15000,0,31950
14,11,1,28,18900,1,31950
11,70,0,99,93317,4,19400
2,32,0,10,40233,1,21500
4,57,0,4,82406,3,11900
4,57,1,42,39000,3,13950
6,32,0,6,42000,2,18500
8,58,0,51,91571,3,27950
7,23,0,10,2500,0,24950
1,36,1,68,11000,0,47950
#10,49,1,26,$,-1,32340
6,32,0,45,40500,1,20950
6,32,0,51,83336,2,18950
11,70,0,101,76401,4,18500
13,38,0,52,10,-1,32200
10,22,0,23,75637,3,15950
13,38,0,35,10,0,31900
13,63,0,56,11,-1,44200
3,25,0,45,3999,0,19950
13,65,1,87,13,-1,23900
6,50,0,91,56357,2,26490
13,38,0,88,4,0,25500
1,53,1,24,31455,1,48950
14,75,1,91,80000,2,28500
#10,22,1,29,$,-1,28450
6,35,0,24,19,1,31950
7,23,0,10,72000,2,19950
11,101,0,85,53107,4,11950
#9,61,0,17,$,0,32250
11,101,0,67,45210,3,12000
14,89,0,42,81999,4,15950
6,32,1,47,60827,3,16950
6,14,0,6,43,1,27950
9,33,0,42,25000,1,13950
13,84,0,46,9,0,43400
6,46,0,37,44544,2,20900
#6,63,1,4,$,0,59950
14,91,0,91,102144,7,11950
7,58,0,85,128744,5,6950
10,60,0,12,5000,0,29950
9,61,0,41,172142,9,5950
1,31,1,68,83000,3,28950
9,61,0,42,10000,0,25950
6,32,0,51,40413,2,21500
9,61,0,9,114260,8,8950
13,63,0,81,13,0,34700
2,4,1,32,90121,3,26950
6,31,0,6,66303,4,12950
7,13,0,10,147545,3,16950
8,73,0,51,110598,4,8750
6,54,1,24,127223,2,29000
13,38,0,35,5,-1,29600
1,16,0,42,99144,3,19995
13,38,0,98,3,0,26300
13,63,1,89,13,-1,46700
6,46,0,95,86014,4,15900
6,32,0,6,12680,1,23500
#6,35,0,24,$,2,17995
6,31,0,45,185070,14,1899
4,57,0,51,6463,1,10690
11,14,1,75,34003,3,18600
1,36,1,90,29000,1,47950
6,32,0,24,87625,3,15950
13,65,0,10,7,-1,20400
6,44,0,24,14463,1,31950
13,82,0,43,2,-1,31200
13,21,0,101,9,-1,16900
4,57,0,42,74028,5,8450
11,101,0,67,44151,1,15500
9,71,1,91,180242,6,9950
11,17,1,99,58060,3,21400
7,23,1,44,8320,2,22950
7,10,0,42,49888,2,17950
13,84,1,81,7,-1,57200
13,84,1,80,6,-1,46800
13,38,0,91,9,-1,27500
11,24,0,25,143228,3,27950
8,74,0,51,93000,5,10950
6,34,0,91,140254,6,7750
7,13,0,42,90765,4,19950
8,43,0,45,53569,2,21500
6,32,0,6,6049,1,35500
11,101,0,20,71012,5,11900
13,38,0,91,111042,5,14950
11,101,0,99,21164,3,14850
6,32,0,24,54179,2,17950
13,82,0,47,8,-1,27000
8,66,0,24,45500,1,30950
6,65,0,47,5,0,36950
6,56,0,13,58956,2,17900
13,38,0,3,5000,0,31400
13,83,0,98,29701,1,33500
7,43,0,10,19312,1,15950
6,44,1,45,11,0,37500
13,38,0,10,2,-1,32400
13,78,0,60,131963,6,14950
10,60,0,27,5000,0,30950
6,32,1,24,91251,3,17950
14,98,0,32,135181,4,20950
#11,17,1,80,$,2,24400
6,31,0,45,75111,3,13950
4,57,0,50,59322,3,8900
9,33,0,42,57000,3,11500
5,27,0,51,10,-1,43000
11,17,1,59,16003,1,29000
1,16,1,48,35000,1,38950
2,32,0,42,40072,1,23500
6,32,0,24,24,0,28250
10,60,0,48,113000,4,17950
9,33,0,41,45000,3,11500
6,44,1,4,72491,3,28950
13,38,0,42,77699,2,18950
10,60,0,12,5000,0,29950
#6,63,1,22,$,0,59950
11,70,1,92,29679,2,29000
14,99,0,41,262316,9,9950
11,14,1,75,36027,2,20900
13,47,0,11,82000,4,16500
6,32,0,24,22000,2,17500
10,50,0,51,177406,3,14950
11,29,0,18,122022,5,13500
8,66,0,4,58257,3,18950
13,38,0,10,45598,1,29995
1,8,0,21,82879,4,18950
2,1,1,51,29172,1,25900
6,32,0,24,37287,2,15950
11,101,1,77,12865,2,16199
9,49,0,42,38000,3,26950
2,3,1,4,57479,2,29950
13,63,0,66,149665,4,14500
3,52,1,39,20116,3,15950
1,52,0,24,56326,3,26950
6,32,0,6,37521,3,16490
13,84,0,80,6,-1,52100
9,80,0,61,37014,5,17500
13,63,0,81,10,0,37900
11,66,1,5,44008,3,17950
13,82,0,43,9,-1,33800
3,69,1,13,28485,2,22350
11,15,0,24,104605,6,10950
6,48,1,4,29984,2,22950
9,71,0,10,28000,2,14950
6,39,0,10,115040,4,15900
6,44,0,4,65655,3,20950
7,85,0,91,96719,4,11950
2,0,0,47,148178,12,5950
13,87,1,42,10,-1,44100
8,66,0,24,74886,4,18950
6,25,0,10,100322,3,15900
7,58,0,42,67591,3,9950
10,60,0,5,35000,1,28950
6,44,0,0,119,0,33500
6,32,0,4,53268,3,16950
6,65,0,6,10,0,34950
3,69,0,42,83000,4,15750
13,38,1,36,9,-1,35100
1,16,1,48,90700,3,26950
5,2,0,42,291283,12,2995
2,69,1,6,65128,2,30950
13,63,0,82,7,0,42100
6,25,0,74,25180,1,19900
6,32,0,51,67808,3,16950
11,70,0,8,169567,5,15499
#6,51,1,24,$,0,30950
11,29,0,58,40007,2,21000
13,21,0,0,119088,4,8950
3,69,0,101,236567,10,6950
#9,61,0,13,$,0,32250
14,74,0,91,178000,8,8950
13,11,1,80,8,-1,54700
13,83,0,101,12,-1,48700
4,59,0,92,77480,3,14950
5,12,0,45,137413,10,2895
#6,63,0,22,$,0,55750
6,77,0,34,66653,3,16900
2,4,1,4,100750,5,22299
1,31,1,48,17800,1,43950
6,65,0,51,174,0,34950
13,38,0,10,212428,9,7950
13,11,1,82,9,-1,53700
13,84,0,43,9,-1,50900
14,100,1,91,59290,3,47500
2,4,0,4,122307,8,14950
#9,61,0,91,$,0,33750
1,8,0,24,125437,4,20500
6,27,0,76,41626,1,13900
6,32,0,24,22000,2,17500
2,68,0,25,104605,4,22895
11,15,0,42,88116,3,18100
6,54,0,24,55,0,43500
1,8,0,4,91273,3,22500
6,32,0,4,58374,3,16950
10,59,1,0,1,-1,56500
7,43,0,10,40233,2,14950
1,31,1,48,22400,1,46950
7,58,1,42,56326,2,11950
11,101,0,99,10,0,16950
13,82,0,42,8,-1,29100
6,27,0,85,28990,1,13700
6,32,0,6,6049,1,35500
6,63,0,24,165404,3,29950
6,14,0,4,143228,9,6950
11,101,0,101,152884,8,7495
13,81,0,53,13,-1,26500
#9,29,1,51,$,1,46000
#6,63,0,47,$,0,55658
3,18,1,24,1899,0,32950
1,8,1,47,77818,3,22950
2,4,1,4,38268,2,34500
13,78,0,91,308631,13,1500
1,31,1,68,137295,4,24950
4,59,0,10,59053,3,14400
4,44,0,10,115870,8,7950
1,16,0,10,145999,9,8750
7,58,0,10,19955,1,13950
5,2,0,42,30000,1,18500
6,14,0,4,82670,2,16950
9,80,0,42,96000,3,19950
9,61,0,42,127000,5,11950
10,60,0,24,821000,4,18950
3,52,1,42,23000,1,24950
14,98,1,85,75000,4,24950
5,27,0,51,10,-1,43000
13,83,1,91,9,-1,42700
1,8,0,24,59810,2,24950
13,63,0,10,191501,3,17950
10,70,0,14,13,0,24250
9,80,0,42,76041,3,23950
11,17,1,59,62198,2,24400
13,82,0,47,8,-1,35100
6,14,0,45,10308,1,22950
14,98,0,42,50942,3,26500
13,83,0,12,1,-1,34700
6,48,1,24,14,0,37911
13,38,0,91,168977,11,6950
9,33,0,13,69000,3,11950
11,70,0,13,110020,3,21900
11,15,0,80,128023,5,13600
13,21,1,43,8,-1,20300
1,37,1,90,19250,0,86950
11,41,0,11,138400,5,25000
10,70,0,27,2000,0,24250
#6,54,0,4,$,0,41500
2,4,1,24,72999,2,27950
1,7,0,8,178632,5,12950
13,65,0,10,10501,0,19950
6,44,1,47,78576,3,27500
6,31,1,24,11563,2,17500
9,102,0,9,150000,5,12500
4,30,0,13,100369,8,6999
13,83,0,92,7,-1,45500
3,69,0,42,41359,3,17950
9,80,0,91,32000,1,27950
5,12,0,24,112651,12,3299
6,25,0,10,41226,1,17900
10,70,0,12,1,-1,25920
2,4,1,6,16267,1,42950
10,60,0,47,49024,3,20950
14,89,0,10,114000,5,13500
13,63,0,10,161402,5,14950
14,74,0,100,167367,7,8950
8,75,0,4,67000,4,13950
13,38,0,10,42000,2,17950
13,65,0,42,13,-1,19500
5,3,0,10,176000,11,3250
7,58,0,85,57935,3,9950
6,44,0,4,39439,3,20500
6,32,0,24,44795,3,15950
13,63,0,81,13,-1,34800
6,48,0,4,127537,4,15950
6,32,0,24,98769,4,13950
13,65,0,85,13,-1,17950
14,73,0,91,209209,14,700
13,38,0,42,86857,3,17500
3,60,0,42,101727,3,28900
14,98,1,42,53372,3,26500
4,12,0,91,193116,9,5999
3,69,0,42,6598,1,23450
6,30,0,19,29772,2,16950
4,12,0,13,159000,10,3950
5,1,0,42,72248,2,23950
11,24,1,99,4701,0,38945
6,54,1,24,19,0,48950
10,60,0,47,51784,3,20950
6,54,0,47,5,0,47200
3,36,0,3,51498,3,18950
5,27,0,51,10,-1,37650
1,31,1,68,11900,1,43950
6,46,0,37,89374,3,17900
13,83,1,80,7,0,45800
9,33,0,13,47000,3,11000
11,101,0,91,160930,10,5495
6,34,0,1,144409,4,10490
6,31,0,24,26299,2,14950
10,95,0,42,45649,1,20950
10,59,1,0,1,-1,51500
3,16,0,24,999,1,17500
11,24,1,25,100,0,38100
6,44,0,24,28637,2,23950
#6,56,0,4,$,11,4495
13,81,0,87,13,-1,31000
7,19,0,24,50854,3,20950
6,44,0,24,61997,3,19500
6,31,0,45,241395,10,4950
11,14,1,96,67579,2,20495
7,42,0,1,37400,2,14950
14,90,0,42,160930,11,4950
13,38,0,97,10401,0,27950
#9,61,0,42,$,0,25950
6,25,0,38,36122,1,20900
10,70,1,38,1000,0,28950
11,101,1,42,22530,1,17914
1,8,0,36,117318,3,23950
0,34,1,4,119870,3,23995
1,7,0,43,67895,5,15950
6,32,0,35,6970,1,44500
13,63,0,45,155780,9,7950
6,32,0,24,54179,2,17950
1,36,1,91,7000,0,58950
6,65,0,24,49850,1,27500
6,32,0,24,64121,3,16950
