,Brands,Models,Transmission,Colour,Mileage,Year,Prices
501,Renault,Zoe,1,Titanium Grey,17889,1,23900
89,Ford,Focus,0,Grey,54179,2,17950
569,MINI,Hatch,0,White,75710,4,15950
451,Skoda,Octavia,0,Grey,12000,0,24950
291,Volvo,S60,0,Silver,178000,8,8950
409,Toyota,C-HR,1,Metalstream Bitone,16003,1,29000
565,Mercedes-Benz,GLC-Class,1,Selenite Grey,29000,1,47950
464,SEAT,Ibiza,0,Black,40233,2,14950
341,Volkswagen,Golf,1,Dark Iron Blue Metallic,5000,0,43950
233,Kia,XCeed,0,Grey,5000,0,23500
9,Audi,A4,0,White,95687,4,20500
550,Opel,Astra,0,Silver,193116,9,5999
231,Kia,Rio,0,Black,11,-1,18950
398,Toyota,Auris,1,Pearl White Bitone,36027,2,20900
498,Renault,Megane,1,Pearl Black,89438,3,15900
293,Volkswagen,Polo,1,Limestone Grey,12,-1,23200
17,BMW,1 Series,0,Grey,38514,3,20500
26,BMW,5 Series,1,Grey,72999,2,27950
502,Renault,Zoe,1,Zircon Blue,30833,3,17950
283,Volkswagen,Tiguan Allspace,0,Deep Black Pearl Effect,5,-1,44300
50,Fiat,Bravo,0,Grey,112651,12,3299
589,Mercedes-Benz,C-Class,1,Obsidean Black,16500,2,38950
111,Ford,Focus,0,White,35266,3,15950
305,Volkswagen,T-Cross,0,Limestone Grey Metallic,10,-1,30200
525,Renault,Captur,0,Black,100322,3,15900
121,Ford,Kuga,0,Gold,16040,1,28950
499,Renault,Scenic,0,Desert Gold,66653,3,16900
508,SEAT,Ateca,0,Black,35998,1,25950
364,Volkswagen,Arteon,1,Pyrite Silver Metallic,9,-1,55800
345,Volkswagen,Golf,0,Grey,53998,1,21950
2,Audi,A4,0,Grey,59810,2,24950
148,Ford,S-Max,0,Grey,18637,2,29500
279,Volkswagen,Tiguan Allspace,1,Pyrite Silver,7,-1,57200
80,Ford,Focus,0,Blue,42000,2,18500
179,Hyundai,Kona,1,Red,39127,2,23500
566,Mercedes-Benz,GLE-Class,1,Selenite Grey,19250,0,86950
313,Volkswagen,T-Roc,0,Grey,8,-1,29100
#448,Skoda,Octavia,0,Blue,$,0,32250
567,Mercedes-Benz,S-Class,1,Cavancite Blue,10000,1,79950
574,Mitsubishi,Eclipse Cross,0,Black,40233,1,21500
131,Ford,Kuga,0,Grey,61997,3,19500
23,BMW,4 Series,1,Grey,129359,5,22900
140,Ford,Mondeo,0,Black,127537,4,15950
228,Kia,Stonic,0,Black,24999,1,18950
219,Kia,Sportage,0,Black,46895,3,20950
360,Toyota,YARIS,0,Silver,160930,10,5495
128,Ford,Kuga,0,Black,65655,3,20950
571,MINI,Hatch,0,Black,51585,4,15950
406,Toyota,Avensis,0,Silver,114260,5,13950
605,Mercedes-Benz,E-Class,1,Obsidean Black,83000,3,28950
311,Volkswagen,Caddy,0,White,11,-1,22200
560,Opel,Mokka,0,Silver Metallic,77480,3,14950
482,Skoda,Fabia,0,Grey,25000,1,13950
197,Kia,e-Soul,1,Blue Flame,58,0,36950
381,Toyota,Corolla,0,Ash Grey,16272,2,20500
366,Volkswagen,T-Roc,0,Grey Metallic,9,-1,33800
373,Volkswagen,Caddy,0,Starlight Blue Metallic,76001,1,16500
491,Renault,Megane,0,Flame Red,30662,1,20900
208,Kia,Sportage,0,Cassa White,5000,0,29950
29,BMW,5 Series,1,Black,59747,4,25500
227,Kia,Stonic,0,Silky Silver,34680,1,18950
389,Toyota,RAV4,0,Ultra Silver,93317,4,19400
171,Honda,Jazz,0,Alabaster Silver,37400,2,14950
203,Kia,Rio,0,Grey,139834,8,6900
405,Toyota,Avensis,0,Grey,88116,3,18100
214,Kia,Sportage,0,Grey,40999,1,26950
588,Mercedes-Benz,C-Class,1,Bright Silver,71160,2,31950
105,Ford,Focus,0,Black,53268,3,16950
202,Kia,Ceed,0,Platinum Graphite,1,-1,27930
387,Toyota,RAV4,1,Silver Metallic,29679,2,29000
429,Skoda,Octavia,0,Beige,249733,8,5950
415,Toyota,Corolla,1,Pearl White Bitone,200,0,28200
351,Volkswagen,Golf,0,Black,212428,9,7950
168,Honda,CR-V,0,Grey,50854,3,20950
113,Ford,Focus,0,Blue,151274,12,3495
388,Toyota,RAV4,0,Blue,110020,3,21900
#192,Kia,Carens,0,White,$,3,19950
#204,Kia,Sorento,1,$,1,-1,56500
462,Skoda,Octavia,0,Black,62000,3,15959
85,Ford,Focus,0,Blue,12680,1,23500
166,Honda,CR-V,1,Crystal Black Pearl,1000,0,45950
281,Volkswagen,Tiguan Allspace,0,Grey Metallic,9,-1,50900
92,Ford,Focus,0,Grey,68469,2,18950
399,Toyota,Auris,1,Tokyo Red Bitone,53331,2,19990
308,Volkswagen,T-Roc,1,Indium Grey Metallic,8,-1,36300
234,Kia,XCeed,0,Lunar Silver,19,0,25650
278,Volkswagen,Tiguan Allspace,1,Deep Black Pearl Effect,10,-1,60600
413,Toyota,Camry,1,Ultra Silver,4701,0,38945
65,Ford,Fiesta,0,Black,56223,2,13950
601,Mercedes-Benz,E-Class,1,Obsidean Black,30700,1,47950
473,SEAT,Mii,1,Black,71292,2,11950
#205,Kia,Sorento,1,$,1,-1,51500
112,Ford,Focus,0,White,76965,4,16500
270,Volkswagen,Tiguan,0,White,10,-1,40700
156,Ford,Transit Tourneo,0,Silver,5,0,36950
532,Renault,Kadjar,0,Cosmosblue,46414,1,24900
581,Nissan,Qashqai,0,Grey,6598,1,23450
122,Ford,Kuga,1,Black,72491,3,28950
386,Toyota,Proace Combi,0,White,179735,2,10900
161,Honda,Civic,0,Obsidean Blue,11,-1,31015
479,SEAT,Toledo,0,Blue,84947,5,11490
516,Peugeot,2008,0,Green,54999,3,13500
94,Ford,Focus,0,Black,44747,2,17950
384,Toyota,Corolla,0,Bronze,122022,5,13500
468,SEAT,Leon,0,Black,93339,5,13950
160,Honda,HR-V,1,Midnight Blue,1,-1,34440
30,BMW,5 Series,1,Black,100750,5,22299
81,Ford,Focus,0,Grey,54179,2,17950
587,Mercedes-Benz,C-Class,1,Brilliant Blue,24500,1,36950
371,Volkswagen,Caddy,0,Candy White,9,-1,15800
497,Renault,Megane,0,Pearl White,92997,3,17900
543,Nissan,Qashqai,0,Red,69200,3,17350
271,Volkswagen,Tiguan,0,Deep Black Pearl Effect,10,-1,35300
500,Renault,Trafic Passenger,0,Silver,49753,1,37900
178,Hyundai,Kona,0,Red,32579,1,23950
110,Ford,Focus,0,Grey,44795,3,15950
#456,Skoda,Octavia,0,Grey,$,0,22950
591,Mercedes-Benz,C-Class,1,Obsidean Black,72500,3,26950
425,Skoda,Octavia,0,Grey,152000,7,9500
232,Kia,XCeed,1,Platinum Graphite,1000,0,28950
321,Volkswagen,Passat,0,Pyrite Silver,14,-1,44200
514,SEAT,Ibiza,0,Black,19312,1,15950
