,Brands,Models,Transmission,Colour,Mileage,Year,Prices
217,14,212,0,192,51784,3,20950
218,14,212,0,192,49024,3,20950
219,14,212,0,17,46895,3,20950
220,14,212,0,215,93961,3,20500
221,14,212,0,192,89305,3,20500
222,14,212,0,153,73500,4,18950
223,14,212,0,90,82100,4,17950
224,14,212,0,196,113000,4,17950
225,14,212,0,192,142000,6,13950
226,14,212,0,17,110881,8,12950
227,14,213,0,191,34680,1,18950
228,14,213,0,17,24999,1,18950
229,14,238,0,100,26700,2,12950
230,14,238,0,180,86349,6,11950
231,14,194,0,17,11,-1,18950
232,14,249,1,166,1000,0,28950
233,14,249,0,90,5000,0,23500
234,14,249,0,108,19,0,25650
235,14,249,0,52,12,0,25650
236,14,249,0,100,2000,0,24250
237,14,249,0,108,17,0,24250
238,14,249,0,52,13,0,24250
239,16,112,1,192,70093,6,16700
240,16,114,1,17,164348,5,19990
241,18,58,1,90,20876,1,33950
242,18,144,0,36,140143,4,11950
243,18,145,0,36,82000,4,16500
244,19,17,1,180,64372,6,35000
245,19,39,1,101,18900,1,31950
246,19,43,1,31,10300,1,42950
247,19,43,1,144,18700,1,39950
248,34,248,1,16,127999,4,37950
249,34,248,1,192,59290,3,47500
250,34,248,1,23,13999,1,63950
251,34,247,0,89,262316,9,9950
252,34,246,1,23,240999,8,12950
253,34,246,0,17,87118,4,22500
254,34,246,1,180,75000,4,24950
255,34,246,0,90,50942,3,27500
256,34,246,0,90,53372,3,26950
257,34,246,1,90,48084,1,43999
258,34,246,1,90,3299,0,69950
259,34,245,0,215,23999,1,37500
260,34,235,0,192,102144,7,11950
261,34,235,0,192,408999,7,6950
262,34,234,0,23,124000,7,9750
263,34,234,0,17,114000,5,13500
264,34,234,0,90,81999,4,15950
265,34,234,0,90,75000,3,17950
266,34,200,1,192,80000,2,28500
267,33,221,1,185,10,-1,46200
268,33,221,0,193,7,-1,45500
269,33,221,1,192,9,-1,42700
270,33,221,0,215,10,-1,40700
271,33,221,0,62,10,-1,35300
272,33,221,0,19,1,-1,34700
273,33,221,0,192,5001,0,37500
274,33,221,1,172,7,0,45800
275,33,221,0,185,9201,0,34950
