,Brands,Models,Transmission,Colour,Mileage,Year,Prices
239,BMW,X3,1,Black,87348,4,27995
240,Nissan,Juke,0,Silver,104000,4,13995
241,Nissan,Juke,0,Grey,107823,5,12950
242,Volkswagen,Passat,1,Silver,205186,3,15950
243,Volkswagen,T-Cross,0,White,17017,0,26500
244,Mercedes-Benz,CLS-Class,1,Black,10,-1,83676
245,Skoda,Octavia,0,Grey,151274,5,16495
246,Volkswagen,Caddy Maxi Life,0,Grey,94949,7,16750
247,Renault,Megane,0,Blue,16780,1,18450
248,Kia,Ceed,0,Grey,49826,3,16995
249,Lexus,RX450H,1,Sonic Titanium,5,0,79945
250,Toyota,YARIS,0,Ultra Silver,5200,2,15995
251,Nissan,Qashqai,0,Red,43400,2,20495
252,Toyota,Corolla,0,Ash Grey Metallic,51486,2,18399
253,Nissan,Juke,1,Black,97174,3,14450
254,Audi,A6,1,Black,5150,0,50950
255,Audi,A4,0,Black,151280,4,16950
256,Audi,Q3,1,Mythos Black,4,-1,47801
257,Toyota,Auris,1,Tokyo Red Pearl Metallic,43173,3,17695
258,Honda,Civic,0,Blue,84327,2,17950
259,Audi,A4,1,White,51739,3,25850
260,SEAT,Arona,1,Red,19,0,22495
261,Lexus,RX,1,Black,62203,5,34995
262,Jaguar,XJ6,1,Blue,199009,13,6950
263,Skoda,Superb,0,Silver,151596,3,16950
264,Renault,Megane,0,Red,16357,1,18950
265,Renault,Captur,0,Grey,21040,1,17450
266,Nissan,Micra,0,Black,15000,1,14495
267,Opel,Astra,0,Blue,105000,3,12500
268,Skoda,Superb,0,Brown,59544,2,23500
269,Ford,Galaxy,0,Silver/black Leather,51015,1,35950
270,Toyota,Corolla,1,Metal Stream Metallic,51473,1,25499
271,Audi,A4,1,Mythos Black,5,-1,54480
272,Skoda,Octavia,0,Silver,44999,3,16495
273,Audi,A4,1,Navarra Blue,5,-1,48537
#274,Volvo,XC60,1,Black,$,-1,55464
275,Renault,Captur,0,Grey,75198,4,12995
276,Volkswagen,Jetta,0,Black,105405,4,14000
277,Ford,Focus,0,Blue,26056,2,17995
278,Toyota,Prius,1,Black,169000,5,12450
279,Ford,Ranger,0,Silver,56326,2,25750
280,Volkswagen,Touran,0,Indium Grey,24100,1,31945
281,Skoda,Scala,0,Blue,16,0,25495
282,Audi,A3,0,Ibis White,10,-1,36800
283,Vauxhall,Mokka,0,Black,91249,3,15495
284,Skoda,Superb,0,White,143228,3,16950
285,Skoda,Superb,0,Grey,104605,2,28000
286,Ford,Focus,0,Black,131963,4,11995
287,Ford,Focus,0,Blue,91730,3,16495
288,Nissan,Qashqai,1,Grey,60028,3,20995
289,Nissan,Qashqai,0,Black,108999,4,15995
290,Peugeot,Other,0,White,374428,9,9500
291,Audi,A3,0,Atoll Blue,5,-1,35995
292,Audi,A3,0,Navarra Blue,10,-1,37760
293,Audi,A8,1,Phantom Black/cream Leather,114260,5,29950
294,Audi,A5,0,White,58579,3,27750
295,Vauxhall,Insignia,1,Black,73746,4,13950
296,Toyota,Avensis,0,Ultra Siver,100218,4,15995
297,Peugeot,Rifter,0,Grey,200,0,28995
298,Lexus,RX450H,1,Sonic Titanium,27185,3,43945
299,Volkswagen,Jetta,0,Grey,47918,3,16950
300,Nissan,Juke,0,Grey,101223,4,13495
301,Audi,A3,0,Floret Silver,10,-1,38997
302,Opel,Astra,0,Grey,105265,3,13450
303,Volkswagen,Tiguan,0,Brown,154224,6,12950
304,Volkswagen,Golf,0,Red,30162,1,25000
305,Ford,Focus,0,Silver,130000,6,10500
306,Volkswagen,Passat,0,Grey,65819,3,18750
307,Lexus,IS300H,1,Sonic Titanium,108200,7,16945
308,SEAT,Ateca,0,Silver,28300,1,26950
309,Nissan,Qashqai,0,Grey,44230,1,23495
310,Porsche,Panamera,1,Grey,39849,2,129995
311,Volvo,S90,1,Grey,87185,1,31995
312,Mercedes-Benz,C-Class,1,Black,123655,7,15995
313,Mazda,Mazda6,1,Red,92000,4,16995
314,Audi,Q3,1,Floret Silver,5,-1,46271
315,Audi,A4,0,Silver,77660,5,16950
316,Nissan,Qashqai,1,Grey,65792,2,22995
317,Volkswagen,Caddy,0,Grey,186006,6,8000
318,Volkswagen,Golf,0,White,14643,1,23950
319,Citroen,Grand C4 Picasso,0,Grey,136791,4,16950
320,Suzuki,Swift,0,Red,80491,7,7900
321,Volkswagen,Jetta,0,Black,72000,2,18500
322,BMW,4 Series,0,Black/cream Leather,52946,5,19950
323,Volkswagen,Touran,1,Blue,83649,3,28500
324,Skoda,Superb,0,Grey,283237,7,8500
325,Kia,Niro,1,Blue,66625,2,22995
326,Opel,Insignia,0,Grey,207200,4,9950
327,Citroen,C4 Cactus,0,Black,56546,5,11950
328,Volkswagen,Golf,0,Red,22091,3,20500
329,Kia,Rio,0,Black,201163,12,2450
#330,Kia,Stonic,0,Red,$,0,20995
331,Opel,Corsa,0,Blue,91667,5,9950
332,Renault,Megane,0,Grey,38005,1,19450
333,Nissan,Qashqai,0,Brown,105516,4,16495
334,Lexus,CT200H,1,Mecury Grey,73800,6,15945
335,Opel,Astra,0,Grey,231500,14,1350
336,Audi,A4,0,Ibis White,40600,4,24950
337,Mercedes-Benz,C-Class,1,Black,52249,2,29495
338,Volkswagen,Tiguan,0,Grey,98176,4,18500
339,Skoda,Octavia,0,Red,122999,5,17495
340,Toyota,C-HR,1,Metal Stream,63810,2,23995
341,Nissan,Qashqai,0,Brown,112000,5,13995
342,Honda,Jazz,1,White,115000,5,13950
343,Audi,Q3,1,Mythos Black,5,-1,47882
344,Skoda,Scala,0,Silver,16,0,23995
345,Volkswagen,Golf,0,Black,105329,4,15500
346,Volkswagen,Jetta,0,Grey,79164,4,15000
