Brands,Models,Transmission,Colour,Mileage,Year,Prices,
18,65,1,8,187233,4,22900,0.557996867
22,3,0,51,137243,2,14500,0.710918251
20,144,0,8,111708,4,15995,0.393654221
26,126,0,7,116999,5,12995,0.09425262
18,78,1,25,18526,0,83900,0.75624543
31,81,1,51,27979,2,24945,0.259749111
31,138,0,80,22531,2,16445,0.148987208
31,184,0,5,19216,0,37945,0.569040825
7,161,0,36,85937,4,21950,0.509534487
31,81,0,101,22091,3,20500,0.891467069
15,150,1,8,62203,5,34995,0.520639568
31,135,1,99,25,0,37845,0.901647089
9,218,0,12,117000,5,15495,0.841556451
15,43,1,29,5,0,35945,0.221906394
31,81,1,101,55086,4,17500,0.524652089
15,43,1,4,51345,2,26945,0.295926839
26,54,0,51,32000,3,11500,0.861133086
31,187,0,7,72845,3,22495,0.576677391
21,24,0,12,156351,4,10950,0.349352254
24,70,0,46,111075,4,9500,0.644607096
29,146,1,115,11800,0,37975,0.499428766
29,139,1,85,10,0,32599,0.327584034
0,10,1,28,10,-1,106505,0.125767574
29,33,1,87,12501,0,29495,0.541938439
18,65,1,8,128499,6,17995,0.465737252
29,27,0,109,201031,7,7950,0.699419961
18,65,1,109,68749,4,26995,0.732957829
18,77,1,109,69058,2,41995,0.50211024
29,27,0,51,132300,5,11950,0.609259201
20,144,0,51,37027,2,20995,0.058154519
7,123,0,51,96503,3,17950,0.505135467
22,3,0,51,4599,0,27250,0.330972511
21,24,0,101,149851,4,10500,0.106869049
9,213,0,101,20655,2,11950,0.293007294
1,9,1,12,28646,2,32945,0.921579647
24,50,0,12,28950,1,17450,0.853893476
5,183,0,109,195992,15,2500,0.218910222
24,50,0,51,28556,1,17450,0.022079278
31,81,1,109,183460,3,15750,0.411686086
31,184,0,18,119088,6,12995,0.785295935
18,65,1,12,162490,6,15950,0.480321981
0,2,1,12,5,-1,48537,0.393227796
0,142,1,109,71689,3,49995,0.785064883
20,144,0,51,44230,1,23495,0.92494476
18,65,1,8,23351,1,46945,0.69618595
31,184,0,51,14000,0,37945,0.803261203
26,178,0,109,70999,2,23495,0.67132224
9,190,0,12,79937,4,18950,0.894399744
29,57,0,51,69950,2,17995,0.071174684
9,96,1,123,44256,1,22995,0.354780996
31,180,0,123,15489,0,28500,0.913039288
12,157,0,8,30638,2,18950,0.972474132
0,4,1,4,205025,7,14950,0.413639837
18,65,1,8,56523,2,34995,0.299654932
0,8,1,23,5,-1,46819,0.906597459
29,210,1,57,52876,3,15399,0.372637843
31,135,1,51,74511,2,22950,0.156489541
29,57,1,123,120698,31,3450,0.11388953
31,135,0,101,99105,2,24500,0.854677143
8,42,0,101,164565,4,16950,0.051873145
31,184,0,8,129494,5,16995,0.188530962
20,144,0,51,165000,5,13500,0.289350258
26,178,0,8,124973,2,19995,0.528743245
31,219,0,109,168732,5,8500,0.576332578
31,184,0,8,13262,0,37945,0.645340919
26,126,1,12,21436,1,22995,0.910049432
29,57,0,51,68999,2,17995,0.909174364
11,66,0,101,8500,1,33995,0.881516774
13,51,0,51,$,0,24995,0.528492852
29,27,0,58,92348,2,18888,0.834874798
7,80,0,109,227457,7,13500,0.049047206
24,50,0,101,89165,3,14450,0.576734819
15,91,1,112,108200,7,16945,0.583042497
26,103,0,12,32991,2,24995,0.830968424
0,4,1,7,5,-1,60147,0.796591644
18,65,1,51,123604,4,23995,0.970519429
31,138,0,123,24476,2,15450,0.335979236
13,125,1,51,26795,1,26995,0.332158265
31,135,1,12,210321,3,17950,0.761602681
29,210,0,119,28745,1,15499,0.968970532
29,57,0,123,62900,3,16995,0.107296357
0,1,1,7,2,-1,39818,0.21966668
25,19,0,109,94949,3,23900,0.77876371
0,2,0,31,147999,6,14995,0.204191561
18,65,1,8,15610,0,44945,0.12217596
20,144,0,123,85293,4,18450,0.794572006
31,48,1,51,67000,2,24000,0.235180704
29,26,1,51,18250,3,17950,0.740428506
13,176,0,101,55777,2,24995,0.060044422
29,33,1,109,29389,3,23495,0.820560373
24,50,0,51,22856,1,18450,0.39964308
1,5,1,80,74028,3,26950,0.648560386
0,0,0,0,5,-1,28343,0.412083198
9,106,0,50,35749,1,18500,0.918622065
20,144,0,51,53000,2,21495,0.470559963
21,95,0,51,207200,4,9950,0.226939063
31,48,0,109,13,0,36500,0.12171837
22,6,0,51,65267,2,24995,0.433948975
31,135,0,101,108141,3,20450,0.210845749
26,126,0,12,128744,3,15500,0.815188659
31,81,0,123,159308,4,12950,0.461959193
31,187,0,18,179505,7,11500,0.606302205
0,1,0,26,10,-1,42418,0.47020823
31,81,0,12,205585,7,10500,0.789641063
29,57,0,117,62811,3,16495,0.273008991
18,76,1,69,1377,0,47540,0.872665941
7,123,0,109,339562,12,2450,0.916508371
31,81,0,101,189644,15,2750,0.350040014
31,184,0,46,47933,2,28000,0.654934444
31,184,0,55,4000,0,43945,0.500436672
31,135,1,8,66216,3,21950,0.299675144
17,115,0,51,28420,4,21995,0.556982999
4,64,0,51,27965,1,17450,0.751677131
15,43,1,60,73800,6,15945,0.11663632
0,9,1,9,5,-1,66063,0.478890667
0,11,1,26,4,-1,88970,0.569218883
29,26,0,38,54778,3,16899,0.882170442
24,119,0,12,18396,1,18950,0.809531193
20,144,0,12,39304,1,23495,0.71456779
31,135,0,109,177350,8,8450,0.481235347
